DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2014,9418.482,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2015,8247.705,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2016,4011.513,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2017,2762.040,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2018,3844.869,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2019,11597.349,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2020,14563.281,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2021,5007.657,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2022,10606.256,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,Spain,2023,25792.784,,
ESTAT:NRG_BAL_S$DEFAULTVIEW(1.0),16/12/24 23:00:00,Annual,Exports,Solid fossil fuels,Gigawatt-hour,European Union - 27 countries (from 2020),2014,216591.631,,
