freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,LAST UPDATE
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2014,71.633,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2015,148.383,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2016,110.647,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2017,256.242,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2018,246.424,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2019,317.494,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2020,224.975,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2021,413.294,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2022,682.098,16/12/24 23:00:00
Annual,Exports,Solid fossil fuels,Gigawatt-hour,Montenegro,2023,551.092,16/12/24 23:00:00
